Model,Subset Accuracy,Hamming Loss,Accuracy(exp),Precision(exp),Recall(exp),F1-Score(exp),One error,Coverage,Rangking Loss,Average precision,Accuracy(micro),Accuracy (macro),Precision(micro),Precision(macro),Recall (micro),Recall (macro),F1-Score (micro),F1-Score (macro),AUC (micro),AUC (macro)
BR-knn,0.3567339420318604,0.14497408866882325,0.8426157,0.8884830388781678,0.9410541340686025,0.8961976110935211,0.07297313152959609,6.646572589874268,0.33199453055858613,0.863507878780365,0.8550259113311768,0.8550258994102478,0.890810352563858,0.871770590543747,0.9421863973140716,0.9221773028373719,0.9157782733440399,0.8961976110935211,0.6755595326423645,0.5557257652282714
BR-dt,0.22712335735559464,0.20213953405618668,0.7779625,0.8836187276314392,0.8622069271378974,0.8538949966430665,0.07564426159484008,6.764319801330567,0.3511174201965332,0.8562063634395599,0.7978604555130004,0.7978604793548584,0.8885606825351715,0.864595478773117,0.8671144843101501,0.8434857428073883,0.8777065098285675,0.8538949966430665,0.6552648603916168,0.5653562784194947
BR-ann,0.41467333734035494,0.12731605321168898,0.83648396,1.0034058094024658,0.9996413956118593,0.9106606245040894,0.05895650806848337,6.234972238540649,0.08239572271704673,0.9343415081501008,0.8726839423179626,0.8726839601993561,0.8942779898643494,0.8789433538913727,0.9614814281463623,0.9455815970897674,0.9266592562198639,0.9106606245040894,0.8737633347511291,0.7936091363430023
BR-svm,0.02266012185718864,0.5798672020435334,0.32893616,0.6652367908166639,0.3533039067376419,0.48204599916934965,0.09409239802728683,6.968725967407226,0.446082791686058,0.84244584441185,0.42013278901576995,0.4201327830553055,0.8836922109127044,0.853715693950653,0.3533960372209549,0.3427242159843445,0.503806421160698,0.48204599916934965,0.5575837910175323,0.5121407389640809
BR-rf,0.37331433296203614,0.13813223242759703,0.84995,0.8914145828186635,0.9471548015962293,0.9008415400981903,0.07276679784587457,6.609919500350952,0.31898394525051116,0.8665453135967255,0.8618677675724029,0.8618677616119385,0.8938032865524292,0.8756859362125397,0.9474489748477936,0.927741676568985,0.9198446154594422,0.9008415400981903,0.6856546103954315,0.554986983537674
BR-nb,0.33457220792770387,0.22943154871463775,0.71010125,0.7789571433506529,0.7780024033990005,0.8448161005973815,0.07725467062641922,6.832778263092041,0.4166467159986496,0.8820012211799622,0.770568460226059,0.770568460226059,0.9071746945381165,0.8951480865478516,0.8084647953510284,0.8025880992412567,0.8549798429012299,0.8448161005973815,0.6925370752811432,0.6760964930057526
BR-dnn,0.40947449803352354,0.12861017882823944,0.83648396,1.0070664882659912,0.9996413956794974,0.9085704743862152,0.06742617246935133,6.2394022941589355,0.08511106297373772,0.9318013191223145,0.8713898181915283,0.8713898122310638,0.8957085609436035,0.8799848437309266,0.9578815281391144,0.94045991897583,0.9257018208503723,0.9085704743862152,0.8701645612716675,0.7865814626216888
BR-ednn,0.4098349630832672,0.129025000333786,0.8364841,0.9982069730758667,0.999641395611859,0.9097763419151306,0.0699141305372928,6.24819278717041,0.0866416871547699,0.9308293223381042,0.8709749937057495,0.8709749937057495,0.8920080542564393,0.8765672147274017,0.9623239517211915,0.9467158615589142,0.9258069455623626,0.9097763419151306,0.8679733514785767,0.7823560357093811
BR-ednn2,0.40845204293727877,0.12927353233098984,0.8364841,1.001244068145752,0.999641396051507,0.9087042808532715,0.07021456057675232,6.247161054611206,0.0864635206758976,0.9308402478694916,0.870726478099823,0.870726478099823,0.8938197195529938,0.8779631137847901,0.9595084130764008,0.9426840782165528,0.9254730939865112,0.9087042808532715,0.8677385091781616,0.7820170521736145
BR-dropoutdnn,0.4109456926584244,0.1286120221018791,0.8364841,0.999301552772522,0.9996413957471354,0.9103472173213959,0.0699480874747658,6.246385097503662,0.08628649041056632,0.931284236907959,0.8713879764080048,0.8713879644870758,0.8918435871601105,0.8770324945449829,0.9630752265453338,0.9479659378528595,0.9260809898376465,0.9103472173213959,0.8683919787406922,0.7823284208774567
